PERMNO,date,TICKER,PRC,vwretd,ewretd
18542,20080709,CAT,68.43000,-0.019382,-0.014158
18542,20080710,CAT,68.42000,0.007653,0.002293
18542,20080711,CAT,69.81000,-0.008283,-0.003134
18542,20080714,CAT,69.67000,-0.008211,-0.012314
18542,20080715,CAT,67.04000,-0.011492,-0.009188
18542,20080716,CAT,70.53000,0.024031,0.026523
18542,20080717,CAT,71.83000,0.009661,0.016424
18542,20080718,CAT,70.89000,0.000353,0.000886
18542,20080721,CAT,73.23000,0.003973,0.006922
18542,20080722,CAT,74.98000,0.011133,0.015198
18542,20080723,CAT,72.42000,0.001823,0.006601
18542,20080724,CAT,69.78000,-0.024315,-0.018608
18542,20080725,CAT,70.48000,0.005549,0.006381
18542,20080728,CAT,69.19000,-0.016518,-0.013748
18542,20080729,CAT,70.99000,0.021252,0.016848
18542,20080730,CAT,72.07000,0.016491,0.006791
18542,20080731,CAT,69.52000,-0.011708,-0.002699
18542,20080801,CAT,68.14000,-0.005183,-0.000643
18542,20080804,CAT,67.43000,-0.013358,-0.012175
18542,20080805,CAT,68.18000,0.024493,0.013529
18542,20080806,CAT,70.51000,0.005719,0.006614
18542,20080807,CAT,68.93000,-0.016825,-0.012514
18542,20080808,CAT,70.90000,0.019180,0.015856
18542,20080811,CAT,70.80000,0.006664,0.010688
18542,20080812,CAT,71.81000,-0.009636,-0.005649
18542,20080813,CAT,69.83000,-0.000113,0.002639
18542,20080814,CAT,70.29000,0.005061,0.006583
18542,20080815,CAT,70.35000,0.001346,-0.000840
18542,20080818,CAT,69.22000,-0.013382,-0.009901
18542,20080819,CAT,68.69000,-0.008867,-0.011698
18542,20080820,CAT,68.80000,0.006859,0.002737
18542,20080821,CAT,68.70000,0.003188,-0.002198
18542,20080822,CAT,70.27000,0.009518,0.009552
18542,20080825,CAT,68.56000,-0.018545,-0.015097
18542,20080826,CAT,68.68000,0.003563,0.002901
18542,20080827,CAT,69.56000,0.009576,0.008219
18542,20080828,CAT,71.68000,0.014316,0.013386
18542,20080829,CAT,70.73000,-0.011671,-0.003383
18542,20080902,CAT,69.08000,-0.006988,-0.003504
18542,20080903,CAT,67.73000,-0.002959,-0.000438
18542,20080904,CAT,63.94000,-0.028919,-0.021585
18542,20080905,CAT,64.07000,0.003846,-0.000287
18542,20080908,CAT,64.58000,0.014866,0.007695
18542,20080909,CAT,61.38000,-0.034925,-0.028931
18542,20080910,CAT,62.82000,0.008548,0.003563
18542,20080911,CAT,64.81000,0.010962,-0.002843
18542,20080912,CAT,65.46000,0.005350,0.004946
18542,20080915,CAT,63.21000,-0.045660,-0.039339
18542,20080916,CAT,64.73000,0.015188,0.003425
18542,20080917,CAT,63.15000,-0.045478,-0.040852
18542,20080918,CAT,65.32000,0.044134,0.041546
18542,20080919,CAT,66.49000,0.046043,0.049560
18542,20080922,CAT,64.60000,-0.036782,-0.026831
18542,20080923,CAT,63.54000,-0.015603,-0.012835
18542,20080924,CAT,61.74000,-0.003276,-0.009146
18542,20080925,CAT,61.96000,0.016570,0.008866
18542,20080926,CAT,64.13000,-0.001985,-0.008251
18542,20080929,CAT,59.89000,-0.082539,-0.061273
18542,20080930,CAT,59.60000,0.046617,0.027763
18542,20081001,CAT,56.95000,-0.005676,-0.004615
18542,20081002,CAT,52.22000,-0.045654,-0.039095
18542,20081003,CAT,51.21000,-0.014299,-0.016888
18542,20081006,CAT,49.20000,-0.042420,-0.059322
18542,20081007,CAT,47.33000,-0.057914,-0.047021
18542,20081008,CAT,47.65000,-0.011612,-0.026835
18542,20081009,CAT,44.80000,-0.072733,-0.063671
18542,20081010,CAT,43.13000,-0.012089,-0.006462
18542,20081013,CAT,49.48000,0.114878,0.107422
18542,20081014,CAT,47.49000,-0.009040,-0.001674
18542,20081015,CAT,42.06000,-0.089769,-0.070781
18542,20081016,CAT,42.37000,0.039646,0.029535
18542,20081017,CAT,39.32000,-0.002507,0.001630
18542,20081020,CAT,40.90000,0.046527,0.035555
18542,20081021,CAT,38.83000,-0.031492,-0.020675
18542,20081022,CAT,36.52000,-0.059107,-0.048848
18542,20081023,CAT,35.36000,0.000901,-0.020278
18542,20081024,CAT,33.30000,-0.033423,-0.031303
18542,20081027,CAT,32.78000,-0.036952,-0.035385
18542,20081028,CAT,34.95000,0.095259,0.050386
18542,20081029,CAT,36.14000,0.001438,0.021629
18542,20081030,CAT,37.37000,0.031985,0.035643
18542,20081031,CAT,38.20000,0.018100,0.033921
18542,20081103,CAT,39.01000,-0.000642,0.008679
18542,20081104,CAT,42.25000,0.038995,0.026558
18542,20081105,CAT,40.40000,-0.050704,-0.037383
18542,20081106,CAT,37.60000,-0.049086,-0.038082
18542,20081107,CAT,38.45000,0.026409,0.014462
18542,20081110,CAT,37.41000,-0.013302,-0.019190
18542,20081111,CAT,36.87000,-0.024365,-0.028206
18542,20081112,CAT,35.08000,-0.053601,-0.053999
18542,20081113,CAT,39.41000,0.067975,0.048470
